FILMS;Date;Mois;Jour;Année;Possession;Billet National;Inflation Ajustée Nat;Billet International; Inflation  Internationale Ajustée ;Worldwide Box Office;Inflation Mondiale Adjustée ;Ouverture du  Weekend; Budget ;IMDb Score;Meta Score;Tomatometer; Score d'audience Tomate Pourie;Durée d'exécution en Minutes;Phase;Directeur
Guardians of the Galaxy Vol. 2;05/05/2017;May;5;2017;Marvel Studios; 389 813 101   ; 457 606 675   ; 479 274 862   ; 562627001.114834 ; 869 087 963   ; 1020233676.11483 ;146510104; 200 000 000 CFA ;7.6;67;85;87;136;Three;James Gunn
Spider-Man: Homecoming;07/07/2017;July;7;2017;Marvel Studios; 334 201 140   ; 392 323 076   ; 544 070 151   ; 638691044.561082 ; 878 271 291   ; 1031014120.56108 ;117027503; 175 000 000 CFA ;7.4;73;92;87;133;Three;Jon Watts
Thor: Ragnarok;11/03/2017;November;3;2017;Marvel Studios; 315 058 289   ; 369 781 873   ; 535 424 489   ; 628424254.511482 ; 850 482 778   ; 998206127.511482 ;122744989; 180 000 000 CFA ;7.9;74;93;87;130;Three;Taika Waititi
Black Panther;2/16/2018;February;16;2018;Marvel Studios; 700 059 566   ; 809 179 714   ; 636 434 754   ; 735637533.194397 ; 1 336 494 320   ; 1544817247.1944 ;202003951; 200 000 000 CFA ;7.3;88;96;79;134;Three;Ryan Coogler
Avengers Infinity War;4/27/2018;April;27;2018;Marvel Studios; 678 815 482   ; 784 624 259   ; 1 369 544 272   ; 1583018785.04547 ; 2 048 359 754   ; 2367643044.04547 ;257698183; 300 000 000 CFA ;8.4;68;85;92;149;Three;Anthony and Joe Russo
Ant-Man and the Wasp;07/06/2018;July;6;2018;Marvel Studios; 216 648 740   ; 250 418 353   ; 406 495 920   ; 469857515.846248 ; 623 144 660   ; 720275868.846248 ;75812205; 130 000 000 CFA ;7;70;87;80;118;Three;Peyton Reed
Captain Marvel;03/08/2019;March;8;2019;Marvel Studios; 426 829 839   ; 490 667 926   ; 702 746 255   ; 807851316.704963 ; 1 129 576 094   ; 1298519242.70496 ;153433423; 175 000 000 CFA ;6.8;64;79;45;123;Three;Anna Boden & Ryan Fleck
Avengers: Endgame;4/26/2019;April;26;2019;Marvel Studios; 858 373 000   ; 986 754 117   ; 1 930 539 285   ; 2219277152.82748 ; 2 788 912 285   ; 3206031269.82748 ;357115007; 400 000 000 CFA ;8.4;78;94;90;181;Three;Anthony and Joe Russo
Spider-Man: Far From Home;07/02/2019;July;2;2019;Marvel Studios; 390 532 085   ; 448 941 359   ; 741 575 437   ; 852487919.111176 ; 1 132 107 522   ; 1301429278.11118 ;92579212; 160 000 000 CFA ;7.4;69;90;95;129;Three;Jon Watts
Black Widow;07/09/2021;July;9;2021;Marvel Studios; 183 651 655   ; 185 947 301   ; 196 099 476   ; 198550719.783681 ; 379 751 131   ; 384498020.783681 ;80366312; 200 000 000 CFA ;6.7;68;79;91;134;Four;Cate Shortland
Shang-Chi and the Legend of the Ten Rings;09/03/2021;September;3;2021;Marvel Studios; 224 543 292   ; 227 350 082   ; 207 681 342   ; 210277357.711359 ; 432 224 634   ; 437627439.711359 ;75388688; 150 000 000 CFA ;7.4;71;92;98;132;Four;Destin Daniel Cretton
Eternals;11/05/2021;November;5;2021;Marvel Studios; 164 870 264   ; 166 928 942   ; 236 861 495   ; 239819102.618094 ; 401 731 759   ; 406748044.618094 ;71297219; 200 000 000 CFA ;6.3;52;47;77;156;Four;Chloe Zhao
Spider-Man: No Way Home;12/17/2021;December;17;2021;Marvel Studios; 814 115 070   ; 821 277 378   ; 1 093 721 184   ; 1103343371.66683 ; 1 907 836 254   ; 1924620749.66683 ;260138569; 200 000 000 CFA ;8.2;71;93;98;148;Four;Jon Watts
Doctor Strange in the Multiverse of Madness;05/06/2022;May;6;2022;Marvel Studios; 411 331 607   ; 411 331 607   ; 540 893 379   ; 540 893 379   ; 952 224 986   ; 952 224 986   ;187420998; 200 000 000 CFA ;6.9;60;73;85;126;Four;Sam Raimi
Thor: Love and Thunder;07/08/2022;July;8;2022;Marvel Studios; 343 256 830   ; 343 256 830   ; 417 671 251   ; 417 671 251   ; 760 928 081   ; 760 928 081   ;144165107; 250 000 000 CFA ;6.2;57;63;76;118;Four;Taika Waititi
Black Panther: Wakanda Forever;11/11/2022;November;11;2022;Marvel Studios; 453 829 060   ; 453 829 060   ; 400 156 486   ; 400 156 486   ; 853 985 546   ; 853 985 546   ;181339761; 250 000 000 CFA ;6.7;67;83;94;161;Four;Ryan Coogler
Ant-Man and the Wasp: Quantumania;2/17/2023;February;17;2023;Marvel Studios; 214 506 909   ; 214 506 909   ; 249 128 394   ; 249 128 394   ; 463 635 303   ; 463 635 303   ;106109650; 200 000 000 CFA ;6.1;48;46;82;124;Five;Peyton Reed
Guardians of the Galaxy Vol. 3;05/05/2023;May;5;2023;Marvel Studios; 358 995 815   ; 358 995 815   ; 486 472 929   ; 486 472 929   ; 845 468 744   ; 845 468 744   ;118414021; 250 000 000 CFA ;7.9;64;82;94;150;Five;James Gunn
The Marvels;11/10/2023;November;10;2023;Marvel Studios; 84 500 223   ; 84 500 223   ; 115 206 027   ; 115 206 027   ; 199 706 250   ; 199 706 250   ;46110859; 274 800 000 CFA ;5.7;50;62;82;105;Five;Nia DaCosta
Spider-Man;05/03/2002;May;3;2002;Sony Pictures; 403 706 375   ; 731 674 375   ; 418 000 000   ; 757580032.641298 ; 821 706 375   ; 1489254407.6413 ;114844116; 139 000 000 CFA ;7.4;73;90;67;121;;Sam Raimi
Spider-Man 2;6/30/2004;June;30;2004;Sony Pictures; 373 524 485   ; 633 367 601   ; 421 173 072   ; 714163030.620176 ; 794 697 557   ; 1347530631.62018 ;88156227; 200 000 000 CFA ;7.5;83;93;82;127;;Sam Raimi
Spider-Man 3;05/04/2007;May;4;2007;Sony Pictures; 336 530 303   ; 515 067 453   ; 558 329 927   ; 854536934.326434 ; 894 860 230   ; 1369604387.32643 ;151116516; 258 000 000 CFA ;6.3;59;63;51;139;;Sam Raimi
The Amazing Spider-Man;07/03/2012;July;3;2012;Sony Pictures; 262 030 663   ; 346 631 015   ; 495 859 604   ; 655954978.185198 ; 757 890 267   ; 1002585993.1852 ;62004688; 220 000 000 CFA ;6.9;66;71;77;136;;Marc Webb
The Amazing Spider-Man 2;05/02/2014;May;2;2014;Sony Pictures; 202 853 933   ; 261 450 655   ; 506 142 403   ; 652347533.17612 ; 708 996 336   ; 913798188.17612 ;91608337; 200 000 000 CFA ;6.6;53;51;64;142;;Marc Webb
Venom;10/05/2018;October;5;2018;Sony Pictures; 213 511 408   ; 246 791 473   ; 642 569 645   ; 742727101.470087 ; 856 081 053   ; 989518574.470087 ;80255756; 116 000 000 CFA ;6.6;35;30;80;112;;Ruben Fleischer
Venom: Let There be Carnage;10/01/2021;October;1;2021;Sony Pictures; 213 550 366   ; 216 207 983   ; 287 996 556   ; 291580649.801867 ; 501 546 922   ; 507788632.801867 ;90033210; 110 000 000 CFA ;5.9;49;57;84;97;;Andy Serkis
Ghost Rider;2/16/2007;February;16;2007;Sony Pictures; 115 802 596   ; 177 238 559   ; 113 742 993   ; 174086288.839907 ; 229 545 589   ; 351324847.839907 ;45388836; 120 000 000 CFA ;110;5.3;35;27;148;;Mark Steven Johnson
Ghost Rider: Spirit of Vengeance;2/17/2012;February;17;2012;Sony Pictures; 51 774 002   ; 68 489 974   ; 97 443 353   ; 128904323.70754 ; 149 217 355   ; 197394297.70754 ;22115334; 57 000 000 CFA ;95;4.3;34;19;131;;Mark Neveldine, Brian Taylor
X-Men;7/14/2000;July;14;2000;20th Century Fox; 157 299 717   ; 307 303 519   ; 139 572 650   ; 272671606.276033 ; 296 872 367   ; 579975125.276033 ;54471475; 75 000 000 CFA ;7.3;64;82;83;104;;Brian Singer
X2;05/02/2003;May;2;2003;20th Century Fox; 214 949 694   ; 375 359 909   ; 191 398 936   ; 334233958.945095 ; 406 348 630   ; 709593867.945095 ;85558731; 125 000 000 CFA ;7.4;68;85;85;134;;Brian Singer
X-Men: The Last Stand;5/26/2006;May;26;2006;20th Century Fox; 234 362 462   ; 376 768 960   ; 224 898 484   ; 361554351.320378 ; 459 260 946   ; 738323311.320378 ;102750665; 210 000 000 CFA ;6.6;58;57;61;104;;Brett Ratner
X-Men Origins: Wolverine;05/01/2009;May;1;2009;20th Century Fox; 179 883 157   ; 252 555 953   ; 194 942 603   ; 273699415.231887 ; 374 825 760   ; 526255368.231887 ;85058003; 150 000 000 CFA ;6.5;40;38;58;107;;Gavin Hood
The Wolverine;7/26/2013;July;26;2013;20th Century Fox; 132 556 852   ; 171 688 017   ; 283 900 000   ; 367708098.75826 ; 416 456 852   ; 539396115.75826 ;53113752; 115 000 000 CFA ;6.7;61;71;69;126;;James Mangold
Logan;03/03/2017;March;3;2017;20th Century Fox; 226 277 068   ; 265 629 601   ; 387 925 247   ; 455390506.378828 ; 614 202 315   ; 721020107.378828 ;88411916; 127 000 000 CFA ;8.1;77;93;90;137;;James Mangold
X-Men: First Class;06/03/2011;June;3;2011;20th Century Fox; 146 408 305   ; 194 411 031   ; 209 000 000   ; 277524594.516684 ; 355 408 305   ; 471935625.516684 ;55101604; 160 000 000 CFA ;7.7;65;86;87;131;;Matthew Vaughn
X-Men: Days of Future Past;5/23/2014;May;23;2014;20th Century Fox; 233 921 534   ; 301 492 496   ; 513 941 241   ; 662399159.653371 ; 747 862 775   ; 963891655.653371 ;90823660; 200 000 000 CFA ;7.9;75;90;91;132;;Brian Singer
X-Men: Apocalypse;5/27/2016;May;27;2016;20th Century Fox; 155 442 489   ; 189 226 511   ; 387 095 057   ; 471226673.817968 ; 542 537 546   ; 660453184.817968 ;65769562; 178 000 000 CFA ;6.9;52;47;65;144;;Brian Singer
Dark Phoenix;06/07/2019;June;7;2019;20th Century Fox; 65 845 974   ; 75 694 115   ; 180 510 921   ; 207508729.583526 ; 246 356 895   ; 283202844.583527 ;32828348; 200 000 000 CFA ;5.7;43;22;64;113;;Simon Kinberg
Deadpool;02/12/2016;February;12;2016;20th Century Fox; 363 070 709   ; 441 980 871   ; 418 876 982   ; 509916136.876278 ; 781 947 691   ; 951897007.876278 ;132434639; 58 000 000 CFA ;8;65;85;90;108;;Tim Miller
Deadpool 2;5/18/2018;May;18;2018;20th Century Fox; 324 591 735   ; 375 186 217   ; 461 770 635   ; 533747347.77932 ; 786 362 370   ; 908933564.77932 ;125507153; 110 000 000 CFA ;7.6;66;84;85;119;;David Leitch
The New Mutants;8/28/2020;August;28;2020;20th Century Fox; 23 855 569   ; 26 694 908   ; 20 752 678   ; 23222704.5166529 ; 44 608 247   ; 49917612.5166529 ;7037017; 67 000 000 CFA ;5.3;43;36;56;94;;Josh Boone
Fantastic Four (2005);07/08/2005;July;8;2005;20th Century Fox; 154 696 080   ; 254 126 313   ; 178 436 670   ; 293126064.028886 ; 333 132 750   ; 547252377.028886 ;56061504; 87 500 000 CFA ;5.7;40;28;45;106;;Tim Story
Fantastic Four: Rise of the Silver Surfer;6/15/2007;June;15;2007;20th Century Fox; 131 921 738   ; 201 909 286   ; 157 558 953   ; 241147639.391603 ; 289 480 691   ; 443056925.391603 ;58051684; 120 000 000 CFA ;5.6;45;38;51;92;;Tim Story
Fantastic Four (2015);08/07/2015;August;7;2015;20th Century Fox; 56 117 548   ; 70 097 010   ; 111 731 639   ; 139565146.65073 ; 167 849 187   ; 209662156.65073 ;25685737; 120 000 000 CFA ;4.3;27;9;18;100;;Josh Trank
Elektra;1/14/2005;January;14;2005;20th Century Fox; 24 409 722   ; 40 098 956   ; 32 414 911   ; 53249442.5759096 ; 56 824 633   ; 93348398.5759096 ;12804793; 65 000 000 CFA ;4.7;34;11;29;97;;Rob Bowman
Daredevil;2/14/2003;February;14;2003;20th Century Fox; 102 543 518   ; 179 068 526   ; 80 239 000   ; 140118846.495144 ; 182 782 518   ; 319187372.495144 ;40310418; 80 000 000 CFA ;5.3;42;43;35;103;;Mark Steven Johnson
The Punisher;4/16/2004;April;16;2004;Lionsgate Films; 33 664 370   ; 57 083 056   ; 20 869 404   ; 35387246.433503 ; 54 533 774   ; 92470302.433503 ;13834527; 33 000 000 CFA ;6.4;33;29;63;124;;Jonathan Hensleigh
Punisher: Warzone;12/05/2008;December;5;2008;Lionsgate Films; 8 050 977   ; 11 807 352   ; 2 106 557   ; 3089421.32204129 ; 10 157 534   ; 14896773.3220413 ;4271451; 35 000 000 CFA ;5.9;30;29;42;103;;Lexi Alexander
Blade;8/21/1998;August;21;1998;New Line Cinema; 70 141 876   ; 157 482 710   ; 61 095 812   ; 137172465.182005 ; 131 237 688   ; 294655175.182005 ;17073856; 45 000 000 CFA ;7.1;47;58;78;120;;Stephen Norrington
Blade II;3/22/2002;March;22;2002;New Line Cinema; 81 676 888   ; 148 030 572   ; 72 661 713   ; 131691537.242333 ; 154 338 601   ; 279722109.242333 ;32528016; 54 000 000 CFA ;6.7;52;57;68;117;;Guillermo del Toro
Blade: Trinity;12/08/2004;December;8;2004;New Line Cinema; 52 397 389   ; 88 619 322   ; 78 955 776   ; 133537328.302826 ; 131 353 165   ; 222156650.302826 ;16061271; 65 000 000 CFA ;5.8;38;24;58;113;;David S. Goyer
Morbius;04/01/2022;April;1;2022;Sony Pictures; 73 865 530   ; 73 865 530   ; 88 893 907   ; 88 893 907   ; 162 759 437   ; 162 759 437   ;39005895; 75 000 000 CFA ;5.2;35;15;71;104;;Daniel Espinosa
