,job_id,job_title,company,descriptions,location,category,subcategory,type,salary
10,72882024,Junior Network Engineer (Fresh Graduate Program),Huawei Technologies (Malaysia) Sdn. Bhd,,Kuala Lumpur,Information & Communication Technology,Telecommunications,Contract/Temp,
11,72817416,Technical Support Specialist (Remote),Motorola Solutions Malaysia Sdn Bhd,"Maintain a strong understanding of Motorola Solutions software and products, including cameras, servers, and networks.
Troubleshoot Motorola Solutions hardware and software products over the phone, chat and through remote sessions
Concisely document software, hardware, and network information in a case management system 
Provide an exceptional customer experience during calls, emails, chat, and customer escalations
Prioritize between tasks including inbound calls, existing case management, live chat, email requests
Collaborate with the regional and global support teams to provide high quality and effective customer experience
Be available to work on call for after hours and weekend emergency support
Continuously learns new skills, technologies & products; keeping up with Motorola Solutions’ pace of innovation
Applying technical concepts to troubleshooting procedures
Installing, configuring, and troubleshooting various operating systems, software, and hardware
IP networking: switching, routers, firewalls, wireless technologies, RTP, TCP/IP, UDP, IGMP and Multicasting
2-4 years of customer support experience in specific technical support environments
video surveillance (CCTV) or access control, telecommunication, cloud software, enterprise hardware support, IT helpdesk/service desk
Degree/Diploma in Computer Engineering, Computer Information Systems, System Administration, Computer Science or equivalent
Certifications such as, but not limited to: CCNA, CCNP, MCSA, MTA, LFS, MCSE, CompTIA A+
A familiarity with the Onvif profile or other video streaming services
Multi language proficiency
Experience working in environments using the KCS Methodology
What's your expected monthly basic salary?",Kuala Lumpur,Information & Communication Technology,Help Desk & IT Support,Full time,
12,72929009,Senior Network Engineer (CCNP Certified),ENZO PLUS SDN. BHD.,"What's your expected monthly basic salary?
How many years' experience do you have as a network engineer?
What's the highest level of Cisco wireless certification that you have completed?
How would you rate your English language skills?
Are you willing to undergo a pre-employment background check?
How much notice are you required to give your current employer?",Petaling,Information & Communication Technology,Engineering - Network,Full time,"RM 6,700 – RM 10,000 per month"
13,72843212,Network Operations Centre Level 2 Engineer,Silverbug IT,"Performs NOC Core Operations via 24x7x365 follow the sun model, focusing on service restoration, client engagements, and proactive service improvements.
Monitoring the performance and capacity of network systems.
Responding to network alerts and hardware malfunctions.
Diagnosing and troubleshooting network errors.
Tracking and documenting network issues and compiling incident reports.
Managing system backups and network security protocols.
Change and configuration management of policies, troubleshooting, patching, capacity management and system upgrades to network infrastructure.
Support for escalated incidents from various teams and business units.
Participates and at times leads Crisis Team conference calls, able to drive solutions with multiple IT Operations teams.
Implements repeatable move, add, changes for LAN, WAN, Security, Servers. Remote access, load balancing, and cloud connectivity
Employs production monitoring tools to ensure that all systems are running and available.
Ensures effective communication with internal team and customers.
Creates knowledge-based documentation and delivers training to NOC staff and internal customers.
Mentors’ junior engineers for technical and professional advancement, and continuously develops personal and team’s technical proficiency and capabilities.
Experience of working with a remote monitoring and management (RMM) platform
Experience of working for an IT Managed Service Provider (MSP)
Experience supporting desktop editions of Windows and basic server administration
Familiarity with a range of security products including antivirus and firewall technologies
Experience of troubleshooting server hardware
Working experience/knowledge of ConnectWise Manage (PSA)
Working experience/knowledge of an MSP-centric RMM product, ideally Datto RMM/Autotask AEM/CentraStage
ITIL Foundation
Sophos SG/XG / Sentinel One
Azure Active Directory
Excellent customer service skills
Problem-solving skills
Ability to work effectively independently and as a team player
Ability to work to deadlines and project scopes
Ability to multi-task
Willingness to learn and innovate
Ability to prioritise and to manage time effectively
Excellent verbal and written communication skills
Willingness to work on occasional outside normal working hours
Strong documentation skills, including ticket updates/resolutions
Excellent attention to detail and highly organized
Medical
Shift Allowance
Performance Incentives
How many years' experience do you have as a Network Operations Centre Engineer?
How would you rate your English language skills?",Kuala Lumpur,Information & Communication Technology,Networks & Systems Administration,Full time,
14,72843239,Network Operations Centre Level 3 Engineer,Silverbug IT,"Provide the lead technical role in resolving service incidents, applying diagnosis, maintenance, change and configuration control attributes to bring about a resolution.
Consistently perform and deliver outputs within the service contract time constraints (KPI’s & SLA’s).
Drive efficiency into technical delivery as a key influence and author of departmental and inter departmental process.
Provide concise documentation to support and train the team.
Participate in the ‘on call’ function as required by the service contract and company needs.
Handling complex technical support issues.
Day-to-day Technical Operation activities (network migrations, design changes, infrastructure updates and firmware updates).
Troubleshoots network issues and develops appropriate solutions, resources, and deployment process.
Crisis management and communication on network health and status to assigned customers, as well as restoration of service.
Provide after-hours support when required for maintenance windows or responding to outages.
Work within established configuration and change management policies to ensure awareness, approval, and success of changes made to the network infrastructure.
Manage a ticket queue independently, using solid judgment when efforts are exhausted, and escalate when necessary.
Perform network maintenance and system upgrades including firmware, patches, hotfixes, and security configurations.
Experience of working with a remote monitoring and management (RMM) platform
Experience of working for an IT Managed Service Provider (MSP)
Experience supporting desktop editions of Windows and Server Administration
Competent with a range of security products including antivirus and firewall technologies
Experience of troubleshooting server hardware
Working experience/knowledge of ConnectWise Manage (PSA)
Working experience/knowledge of an MSP-centric RMM product, ideally Datto RMM/Autotask AEM/CentraStage
ITIL Foundation
Sophos SG/XG / Sentinel One
Azure Active Directory
Excellent customer service skills
Problem-solving skills
Ability to work effectively independently and as a team player
Ability to work to deadlines and project scopes
Ability to multi-task
Willingness to learn and innovate
Ability to prioritise and to manage time effectively
Excellent verbal and written communication skills
Willingness to work on occasional outside normal working hours
Strong documentation skills, including ticket updates/resolutions
Excellent attention to detail and highly organized
How many years' experience do you have as a Network Operations Centre Engineer?
How would you rate your English language skills?",Kuala Lumpur,Information & Communication Technology,Networks & Systems Administration,Full time,
15,72926555,Resident Engineer,EXCEL COMMERCE SOLUTIONS SDN. BHD.,"Highlight any abnormality to respective team members 
To ensure Incident ticket response within 4 working hours (SLA) 
To perform End user rating measurement on ticket response and to provide technical support to meet 97% satisfaction of annual tickets 
To manage escalation process (internal/external/principals) 
To perform onsite Preventive Maintenance (twice per year) 
To work on Messaging related incidents and issues, ensuring a standard of case management 
As a member of the Project team assist with the tasks related to the engineer's scope of work 
Involve in SSL/Domain renewal 
To assist in the installation and migration of O365 (Email messaging, if any) 
As the standby engineers to respond to Incident ticket response during after office hours
Provide root cause analysis reports
Formulate corrective measures 
Daily ticket review with team lead 
To provide Cloud security service
To manage Firewall, Netscaler, Loadbalancer, Antivirus, Barracuda WAF, Cloudflare 
ID creation SLA within 2 days
Individual app password reset 
Windows AD, Office365 ID, Global Protect ID, Internet ID, Lotus Notes ID, Shared Folder, Esker, IFCA, JDE, Metabuyer, Xilnex
Bachelor’s degree or professional certificate in Telecommunication, Computer Science, Information Technology, and Network Engineering or related discipline
Basic knowledge and troubleshooting skills with network and security components and products such as Cisco, Trend Micro, FireEye, Fortigate, PaloAlto, etc
Basic data analysis skills with Excel
Which of the following statements best describes your right to work in Malaysia?
How many years' experience do you have as a Residential Engineer?",Kuala Lumpur,Information & Communication Technology,Engineering - Software,Full time,
16,72867371,IT Technical Support Engineer,TeamCloud Solution Sdn Bhd,"How many years' experience do you have as an Information Technology Technical Support Engineer?
Which of the following Microsoft Office products are you experienced with?
Do you have technical support experience?
How would you rate your English language skills?",Petaling,Information & Communication Technology,Help Desk & IT Support,Full time,"RM 3,200 – RM 4,500 per month"
17,72803812,Network Operation Centre (NOC) Engineer x 6 positions,Silverstreet (M) Sdn Bhd,"Outstanding career growth with development opportunities
Work benefits package
Energetic and innovative work culture
Function as the First Line Support (FLS), a point of contact with the user community. Be responsible for day-to-day interaction with customers, partners, account managers, and development teams.
Managing incidents via emails, calls, instant messaging, and provide high-quality support. Addressing incidents efficiently, by gathering/logging all necessary information for troubleshooting.
Escalating to other relevant departments and ensuring that stakeholder is kept up to date on the status of incidents.
Ensure incidents handled within agreed SLA.
Monitoring platform and system performance.
Prepare and analyze daily reports.
Calling Fresh graduates with a Bachelor's degree preferably in IT/Computer Science
Candidates with some internship or work experience are encouraged to apply for this position if interested
Required Skill(s): Microsoft Office and other business applications.
Some familiarity with Linux, networking would be great to have
Strong analytical, problem-solving and solution-oriented abilities.
Excellent interpersonal and communication skills.
Must be able to converse and write in English fluently.
Applicant must be willing to work on a shift roster, including Public Holiday and Weekends.
Which of the following statements best describes your right to work in Malaysia?
Are you willing to undergo a pre-employment background check?
What's your expected monthly basic salary?
How many years' experience do you have as a Network Operations Centre Engineer?
How many years' experience do you have in the IT industry?",Kuala Lumpur,Information & Communication Technology,Engineering - Network,Full time,"RM 2,500 – RM 3,100 per month"
18,72867718,Support Engineer,WoodWing Digital Services Sdn Bhd,"Responding to technical queries from partners and customers with accuracy and efficiency. 
Analyzing and resolving issues escalated by partners and customers. 
Effectively handle tickets in a timely manner. 
Timely reporting of tickets that may escalate to the Manager or L3 Support. 
Maintaining regular contact with business partners and customers to address their needs. 
Collaborates with other staff to research and resolve problems. 
Creating and managing test and support environments. 
Staying updated on WoodWing products through internal training and self-study. 
Actively contributing to the Knowledge Base by sharing knowledge and information. 
Performs other related duties as assigned. 
Bachelor's degree in Computer Science or related field. 
At least three years of experience in customer support is highly preferred. 
Broad technical knowledge in the ICT field, including: 
MS Windows, Linux, MacOS (management and configuration),  
Configuring and using relational databases (Oracle, MySQL, MS SQL),  
Web application technologies (PHP, XML). 
Excellent verbal and written communication skills. 
Excellent interpersonal and customer service skills. 
Strong analytical and problem-solving skills. 
What's your expected monthly basic salary?
How many years' experience do you have as a support engineer?
How would you rate your English language skills?
Which of the following Relational Database Management Systems (RDBMS) are you experienced with?
Do you have customer service experience?",Sepang,Information & Communication Technology,Help Desk & IT Support,Full time,"RM 3,600 – RM 5,400 per month"
19,72929297,IT & System Support Executive,TEKMARK SDN BHD,"Which of the following statements best describes your right to work in Malaysia?
How many years' experience do you have as a System Support Executive?
How many years' experience do you have as an IT System Executive?",Sri Petaling,Information & Communication Technology,Networks & Systems Administration,Full time,
20,72842188,IT Support Engineer,RONGSHENG HIGH TECH MALAYSIA SDN BHD,"How many years' experience do you have as an Information Technology Support Engineer?
Which of the following statements best describes your right to work in Malaysia?
What's your expected monthly basic salary?
Which of the following languages are you fluent in?
How many years' experience do you have as a Linux Administrator?
How many years' experience do you have as a network engineer?
How many years' experience do you have as a Server Operator?
How would you rate your Mandarin language skills?",Johor Bahru District,Information & Communication Technology,Help Desk & IT Support,Contract/Temp,"RM 4,000 – RM 6,000 per month"
21,72933492,IT Specialist,SNSOFT SDN. BHD.,"13th Months Salary (upon Company Declaration)
Project Incentive (upon Company Declaration based on project performance)
Transport, Meal, Birthday Allowances (upon Confirmation)
Medical + Dental claim
Sports Activities (Badminton & Basketball),
Team Building activities
Training and certification sponsored by company (Selected employees).
Rewards and recognition: Long Service Award / Best Performer Award / Role Model Awards etc
Smart casual attire
Yearly annual dinner
Diploma/Degree in Computer Science/ Information Technology or relevant field.
Possess 5 years and above of experience in software and hardware applications support
Strong team player with the ability to work in a team and as an individual contributor.
Self-starter with proven initiative to learn new technologies.
Mature thinking, bright personality with good attitude
Good analytical and problem-solving skills.
Knowledge in Cisco, Fortinet, monitoring tools and Jira is an added advantage.
Extensive knowledge of LAN, WAN and Data Communication operations analysis and design. Good knowledge of operating systems such as UNIX/Linux, IOS and Windows.
How many years' experience do you have as an Information Technology Specialist?
What's your expected monthly basic salary?
Which of the following Microsoft Office products are you experienced with?
Which of the following statements best describes your right to work in Malaysia?
Which of the following languages are you fluent in?",Kuala Lumpur,Information & Communication Technology,Help Desk & IT Support,Full time,"RM 5,000 – RM 7,000 per month"
22,72844955,Senior Network/Security Engineer,DATAPATH NETWORKS SDN. BHD.,"Perform deployments, support and maintenance for network-related hardware systems, wireless systems, network security systems, software applications and information technology infrastructure.
Able to perform troubleshooting to solve complex technical issues.
Provides customer support through on-site installation as well as overseeing any necessary diagnoses, troubleshooting, service and repair of complex equipment and system.
Participate in a support structure which provides 24/7 365 days/year technical support on critical problems and advisory service for clients.
Participate in system integration and user acceptance tests, and compile customer configuration profile documentations.
Perform scheduled night jobs activities.
Perform any ad-hoc task assigned by superior.
Candidate must possess at least a Diploma in Computer Science/Information Technology or equivalent.
Senior role with 3-5 years experience.
Fresh Graduates are encouraged to apply.
CCNA / CCNP certification preferred.
Excellent knowledge of TCP/IP-based services, including DNS, DHCP, TFTP, SSH, SMTP etc.
Excellent knowledge of internet routing protocols (RIP, OSPF, BGP, EIFRP, IGRP, etc)
Excellent knowledge of Firewall/IPS/WAF and monitoring tools. (Fortinet, Cisco, Checkpoint, Sophos, TrendMicro etc)
Excellent knowledge of Virtualization technology (VMware, Hyper-V, Nutanix)
Having experience in deployment/support/management for mainstream industry solutions will be added advantage. (Cisco, HPE Aruba, Fortinet, Palo Alto, Checkpoint, Ruckus, Huawei, Sophos etc)
Having relevant industry certification is a plus.
Location: Klang Valley
Flexible working environment
Annual Performance Bonus
Allowance (travel stipends, transportation, etc.)
How many years' experience do you have as a Network and Systems Engineer?
What's your expected monthly basic salary?
How would you rate your Mandarin language skills?
How many years' experience do you have as a Network and Security Engineer?
Do you have customer service experience?
Which of the following statements best describes your right to work in Malaysia?
How would you rate your English language skills?
Which of the following languages are you fluent in?",Kuala Lumpur,Information & Communication Technology,Security,Full time,"RM 4,000 – RM 5,000 per month"
